Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W24X103,103,30.3,24.5,24  1/2 ,9.00,9      ,0.550,  9/16,  5/16,0.980,1      ,1.48,2  1/4 ,1  1/2 ,4.59,39.2,3000,280,245,10.0,119,41.5,26.5,1.99,7.07,16600,52.9,117,48.7,139,2.40,23.5,74.0,83.0,58.0,67.0,20      ,5  1/2 
W24X94,94.0,27.7,24.3,24  1/4 ,9.07,9  1/8 ,0.515,  1/2 ,  1/4 ,0.875,  7/8 ,1.38,2  1/8 ,1  7/16,5.18,41.9,2700,254,222,9.87,109,37.5,24.0,1.98,5.26,15000,53.1,105,43.8,126,2.40,23.4,73.9,83.0,57.7,66.7,20      ,5  1/2 
W24X84,84.0,24.7,24.1,24  1/8 ,9.02,9      ,0.470,  1/2 ,  1/4 ,0.770,  3/4 ,1.27,2  1/16,1  7/16,5.86,45.9,2370,224,196,9.79,94.4,32.6,20.9,1.95,3.70,12800,52.6,91.3,38.4,111,2.37,23.3,73.5,82.5,57.2,66.2,20      ,5  1/2 
W24X76,76.0,22.4,23.9,23  7/8 ,8.99,9      ,0.440,  7/16,  1/4 ,0.680, 11/16,1.18,1 15/16,1  7/16,6.61,49.0,2100,200,176,9.69,82.5,28.6,18.4,1.92,2.68,11100,52.2,79.8,33.8,98.9,2.33,23.2,73.0,82.0,56.8,65.8,20      ,5  1/2 
W24X68,68.0,20.1,23.7,23  3/4 ,8.97,9      ,0.415,  7/16,  1/4 ,0.585,  9/16,1.09,1  7/8 ,1  7/16,7.66,52.0,1830,177,154,9.55,70.4,24.5,15.7,1.87,1.87,9430,51.8,68.0,28.9,87.0,2.30,23.1,72.6,81.6,56.4,65.3,20      ,5  1/2 
W24X62,62.0,18.2,23.7,23  3/4 ,7.04,7      ,0.430,  7/16,  1/4 ,0.590,  9/16,1.09,1  1/2 ,1  1/16,5.97,50.1,1550,153,131,9.23,34.5,15.7,9.80,1.38,1.71,4620,40.7,42.2,22.5,75.3,1.75,23.1,66.8,73.8,54.4,61.5,20  3/4 ,3  1/2 
W24X55,55.0,16.2,23.6,23  5/8 ,7.01,7      ,0.395,  3/8 ,  3/16,0.505,  1/2 ,1.01,1  7/16,1      ,6.94,54.6,1350,134,114,9.11,29.1,13.3,8.30,1.34,1.18,3870,40.5,35.8,19.3,66.1,1.72,23.1,66.6,73.6,54.2,61.2,20  3/4 ,3  1/2 
W21X275,275,81.8,24.1,24  1/8 ,12.9,12  7/8 ,1.22,1  1/4 ,  5/8 ,2.19,2  3/16,3.37,3  7/16,1 13/16,2.95,14.2,7690,749,638,9.70,787,191,122,3.10,107,94400,70.7,499,140,369,3.68,21.9,82.4,95.3,61.1,74.0,17  1/4 ,5  1/2 
W21X248,248,73.8,23.7,23  3/4 ,12.8,12  3/4 ,1.10,1  1/8 ,  9/16,1.99,2      ,3.17,3  1/4 ,1  3/4 ,3.22,15.8,6830,671,576,9.62,699,170,109,3.08,80.7,82400,69.5,442,126,330,3.63,21.7,81.6,94.4,60.2,73.0,17  1/4 ,5  1/2 
W21X223,223,66.5,23.4,23  3/8 ,12.7,12  5/8 ,1.00,1      ,  1/2 ,1.79,1 13/16,2.97,3  1/16,1 11/16,3.55,17.5,6080,601,520,9.56,614,150,96.7,3.04,59.5,71700,68.6,390,113,295,3.57,21.6,80.9,93.6,59.5,72.2,17  1/4 ,5  1/2 
W21X201,201,59.3,23.0,23      ,12.6,12  5/8 ,0.910, 15/16,  1/2 ,1.63,1  5/8 ,2.13,2  7/8 ,1 11/16,3.86,20.6,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,67.3,346,102,264,3.55,21.4,81.1,93.7,58.6,71.2,17  1/4 ,5  1/2 
W21X182,182,53.6,22.7,22  3/4 ,12.5,12  1/2 ,0.830, 13/16,  7/16,1.48,1  1/2 ,1.98,2  3/4 ,1  5/8 ,4.22,22.6,4730,476,417,9.40,483,119,77.2,3.00,30.7,54400,66.3,307,91.6,237,3.51,21.2,80.4,92.9,57.9,70.4,17  1/4 ,5  1/2 
W21X166,166,48.8,22.5,22  1/2 ,12.4,12  3/8 ,0.750,  3/4 ,  3/8 ,1.36,1  3/8 ,1.86,2  5/8 ,1  9/16,4.57,25.0,4280,432,380,9.36,435,108,70.0,2.99,23.6,48500,65.5,276,83.7,215,3.48,21.1,79.8,92.2,57.4,69.8,17  1/4 ,5  1/2 
W21X147,147,43.2,22.1,22      ,12.5,12  1/2 ,0.720,  3/4 ,  3/8 ,1.15,1  1/8 ,1.65,2  7/16,1  9/16,5.44,26.1,3630,373,329,9.17,376,92.6,60.1,2.95,15.4,41100,65.5,235,71.0,186,3.46,21.0,79.4,91.9,56.7,69.2,17  1/4 ,5  1/2 
W21X132,132,38.8,21.8,21  7/8 ,12.4,12  1/2 ,0.650,  5/8 ,  5/16,1.04,1  1/16,1.54,2  1/4 ,1  9/16,6.01,28.9,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,64.4,206,62.8,164,3.43,20.8,78.6,91.0,56.0,68.4,17  1/4 ,5  1/2 
W21X122,122,35.9,21.7,21  5/8 ,12.4,12  3/8 ,0.600,  5/8 ,  5/16,0.960, 15/16,1.46,2  1/4 ,1  1/2 ,6.45,31.3,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,64.3,191,58.7,153,3.40,20.7,78.5,90.9,55.8,68.2,17  1/4 ,5  1/2 
W21X111,111,32.6,21.5,21  1/2 ,12.3,12  3/8 ,0.550,  9/16,  5/16,0.875,  7/8 ,1.38,2  1/8 ,1  1/2 ,7.05,34.1,2670,279,249,9.05,274,68.2,44.5,2.90,6.83,29200,63.4,171,53.0,138,3.37,20.6,77.9,90.2,55.3,67.6,17  1/4 ,5  1/2 
W21X101,101,29.8,21.4,21  3/8 ,12.3,12  1/4 ,0.500,  1/2 ,  1/4 ,0.800, 13/16,1.30,2  1/16,1  7/16,7.68,37.5,2420,253,227,9.02,248,61.7,40.3,2.89,5.21,26200,63.3,156,48.6,126,3.35,20.6,77.8,90.1,55.1,67.4,17  1/4 ,5  1/2 
W21X93,93.0,27.3,21.6,21  5/8 ,8.42,8  3/8 ,0.580,  9/16,  5/16,0.930, 15/16,1.43,1  5/8 , 15/16,4.53,32.3,2070,221,192,8.70,92.9,34.7,22.1,1.84,6.03,9940,43.5,85.2,37.7,109,2.24,20.7,66.5,74.9,51.6,60.0,18  3/8 ,5  1/2 
W21X83,83.0,24.4,21.4,21  3/8 ,8.36,8  3/8 ,0.515,  1/2 ,  1/4 ,0.835, 13/16,1.34,1  1/2 ,  7/8 ,5.00,36.4,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,43.0,75.0,33.7,96.8,2.21,20.6,66.0,74.4,51.2,59.5,18  3/8 ,5  1/2 
W21X73,73.0,21.5,21.2,21  1/4 ,8.30,8  1/4 ,0.455,  7/16,  1/4 ,0.740,  3/4 ,1.24,1  7/16,  7/8 ,5.60,41.2,1600,172,151,8.64,70.6,26.6,17.0,1.81,3.02,7410,42.5,65.2,29.7,85.0,2.19,20.5,65.5,73.8,50.7,59.0,18  3/8 ,5  1/2 
W21X68,68.0,20.0,21.1,21  1/8 ,8.27,8  1/4 ,0.430,  7/16,  1/4 ,0.685, 11/16,1.19,1  3/8 ,  7/8 ,6.04,43.6,1480,160,140,8.60,64.7,24.4,15.7,1.80,2.45,6760,42.2,59.8,27.4,78.7,2.17,20.4,65.3,73.6,50.5,58.7,18  3/8 ,5  1/2 
W21X62,62.0,18.3,21.0,21      ,8.24,8  1/4 ,0.400,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16, 13/16,6.70,46.9,1330,144,127,8.54,57.5,21.7,14.0,1.77,1.83,5960,42.0,53.2,24.6,71.2,2.15,20.4,65.1,73.3,50.2,58.5,18  3/8 ,5  1/2 
W21X55,55.0,16.2,20.8,20  3/4 ,8.22,8  1/4 ,0.375,  3/8 ,  3/16,0.522,  1/2 ,1.02,1  3/16, 13/16,7.87,50.0,1140,126,110,8.40,48.4,18.4,11.8,1.73,1.24,4980,41.7,44.7,20.8,61.8,2.11,20.3,64.7,72.9,49.8,58.0,18  3/8 ,5  1/2 
W21X48,48.0,14.1,20.6,20  5/8 ,8.14,8  1/8 ,0.350,  3/8 ,  3/16,0.430,  7/16,0.930,1  1/8 , 13/16,9.47,53.6,959,107,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950,41.0,35.9,16.9,52.3,2.05,20.2,64.1,72.2,49.3,57.5,18  3/8 ,5  1/2 
W21X57,57.0,16.7,21.1,21      ,6.56,6  1/2 ,0.405,  3/8 ,  3/16,0.650,  5/8 ,1.15,1  5/16, 13/16,5.04,46.3,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,33.5,35.8,20.5,63.4,1.68,20.5,60.2,66.8,48.8,55.3,18  3/8 ,3  1/2 
W21X50,50.0,14.7,20.8,20  7/8 ,6.53,6  1/2 ,0.380,  3/8 ,  3/16,0.535,  9/16,1.04,1  1/4 , 13/16,6.10,49.4,984,110,94.5,8.18,24.9,12.2,7.64,1.30,1.14,2570,33.1,28.9,16.7,53.9,1.64,20.3,59.6,66.1,48.1,54.7,18  3/8 ,3  1/2 
W21X44,44.0,13.0,20.7,20  5/8 ,6.50,6  1/2 ,0.350,  3/8 ,  3/16,0.450,  7/16,0.950,1  1/8 , 13/16,7.22,53.6,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.770,2110,32.9,24.1,14.0,46.8,1.60,20.3,59.3,65.8,47.9,54.4,18  3/8 ,3  1/2 
W18X311,311,91.6,22.3,22  3/8 ,12.0,12      ,1.52,1  1/2 ,  3/4 ,2.74,2  3/4 ,3.24,3  9/16,1  9/16,2.19,10.4,6970,754,624,8.72,795,207,132,2.95,176,76200,58.7,482,140,375,3.53,19.6,76.7,88.7,56.6,68.6,15  1/8 ,5  1/2 
W18X283,283,83.3,21.9,21  7/8 ,11.9,11  7/8 ,1.40,1  3/8 , 11/16,2.50,2  1/2 ,3.00,3  3/8 ,1  1/2 ,2.38,11.3,6170,676,565,8.61,704,185,118,2.91,134,65900,57.7,429,127,339,3.47,19.4,75.8,87.7,55.7,67.6,15  1/8 ,5  1/2 
W18X258,258,76.0,21.5,21  1/2 ,11.8,11  3/4 ,1.28,1  1/4 ,  5/8 ,2.30,2  5/16,2.70,3  3/16,1  7/16,2.56,12.5,5510,611,514,8.53,628,166,107,2.88,103,57600,56.6,384,116,306,3.42,19.2,75.1,86.9,54.8,66.6,15  1/8 ,5  1/2 
W18X234,234,68.6,21.1,21      ,11.7,11  5/8 ,1.16,1  3/16,  5/8 ,2.11,2  1/8 ,2.51,3      ,1  3/8 ,2.76,13.8,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,55.5,343,106,276,3.37,19.0,74.3,86.0,53.9,65.6,15  1/8 ,5  1/2 
W18X211,211,62.3,20.7,20  5/8 ,11.6,11  1/2 ,1.06,1  1/16,  9/16,1.91,1 15/16,2.31,2 13/16,1  3/8 ,3.02,15.1,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,54.5,302,94.6,246,3.32,18.8,73.4,85.0,53.0,64.6,15  1/8 ,5  1/2 
W18X192,192,56.2,20.4,20  3/8 ,11.5,11  1/2 ,0.960, 15/16,  1/2 ,1.75,1  3/4 ,2.15,2  5/8 ,1  5/16,3.27,16.7,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,53.6,270,86.0,222,3.28,18.7,72.7,84.2,52.3,63.8,15  1/8 ,5  1/2 
W18X175,175,51.4,20.0,20      ,11.4,11  3/8 ,0.890,  7/8 ,  7/16,1.59,1  9/16,1.99,2  7/16,1  1/4 ,3.58,18.0,3450,398,344,8.20,391,106,68.8,2.76,33.8,33300,52.5,238,76.9,198,3.24,18.4,71.7,83.1,51.4,62.8,15  1/8 ,5  1/2 
W18X158,158,46.3,19.7,19  3/4 ,11.3,11  1/4 ,0.810, 13/16,  7/16,1.44,1  7/16,1.84,2  3/8 ,1  1/4 ,3.92,19.8,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,51.6,210,69.0,177,3.20,18.3,71.0,82.3,50.7,62.0,15  1/8 ,5  1/2 
W18X143,143,42.0,19.5,19  1/2 ,11.2,11  1/4 ,0.730,  3/4 ,  3/8 ,1.32,1  5/16,1.72,2  3/16,1  3/16,4.25,22.0,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,25700,50.9,188,62.8,160,3.17,18.2,70.4,81.6,50.2,61.4,15  1/8 ,5  1/2 
W18X130,130,38.3,19.3,19  1/4 ,11.2,11  1/8 ,0.670, 11/16,  3/8 ,1.20,1  3/16,1.60,2  1/16,1  3/16,4.65,23.9,2460,290,256,8.03,278,76.7,49.9,2.70,14.5,22700,50.7,170,57.2,146,3.13,18.1,70.2,81.4,49.8,61.0,15  1/8 ,5  1/2 
W18X119,119,35.1,19.0,19      ,11.3,11  1/4 ,0.655,  5/8 ,  5/16,1.06,1  1/16,1.46,1 15/16,1  3/16,5.31,24.5,2190,262,231,7.90,253,69.1,44.9,2.69,10.6,20300,50.7,152,50.6,131,3.13,17.9,69.9,81.2,49.3,60.6,15  1/8 ,5  1/2 
W18X106,106,31.1,18.7,18  3/4 ,11.2,11  1/4 ,0.590,  9/16,  5/16,0.940, 15/16,1.34,1 13/16,1  1/8 ,5.96,27.2,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,49.7,131,44.3,114,3.10,17.8,69.1,80.3,48.6,59.8,15  1/8 ,5  1/2 
W18X97,97.0,28.5,18.6,18  5/8 ,11.1,11  1/8 ,0.535,  9/16,  5/16,0.870,  7/8 ,1.27,1  3/4 ,1  1/8 ,6.41,30.0,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,49.2,119,40.7,105,3.08,17.7,68.7,79.8,48.3,59.4,15  1/8 ,5  1/2 
W18X86,86.0,25.3,18.4,18  3/8 ,11.1,11  1/8 ,0.480,  1/2 ,  1/4 ,0.770,  3/4 ,1.17,1  5/8 ,1  1/16,7.20,33.4,1530,186,166,7.77,175,48.4,31.6,2.63,4.10,13600,48.9,105,36.0,92.4,3.05,17.6,68.4,79.5,47.9,59.0,15  1/8 ,5  1/2 
W18X76,76.0,22.3,18.2,18  1/4 ,11.0,11      ,0.425,  7/16,  1/4 ,0.680, 11/16,1.08,1  9/16,1  1/16,8.11,37.8,1330,163,146,7.73,152,42.2,27.6,2.61,2.83,11700,48.2,90.1,31.5,80.6,3.02,17.5,67.9,78.9,47.4,58.4,15  1/8 ,5  1/2 
W18X71,71.0,20.9,18.5,18  1/2 ,7.64,7  5/8 ,0.495,  1/2 ,  1/4 ,0.810, 13/16,1.21,1  1/2 ,  7/8 ,4.71,32.4,1170,146,127,7.50,60.3,24.7,15.8,1.70,3.49,4700,33.8,52.3,25.6,72.4,2.05,17.7,58.3,65.9,44.6,52.3,15  1/2 ,3  1/2 
W18X65,65.0,19.1,18.4,18  3/8 ,7.59,7  5/8 ,0.450,  7/16,  1/4 ,0.750,  3/4 ,1.15,1  7/16,  7/8 ,5.06,35.7,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,33.5,47.7,23.6,66.3,2.03,17.7,58.0,65.6,44.4,52.0,15  1/2 ,3  1/2 
W18X60,60.0,17.6,18.2,18  1/4 ,7.56,7  1/2 ,0.415,  7/16,  1/4 ,0.695, 11/16,1.10,1  3/8 , 13/16,5.44,38.7,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,33.1,43.5,21.7,60.6,2.02,17.5,57.5,65.1,44.0,51.5,15  1/2 ,3  1/2 
W18X55,55.0,16.2,18.1,18  1/8 ,7.53,7  1/2 ,0.390,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16, 13/16,5.98,41.1,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,32.9,39.0,19.6,55.3,2.00,17.5,57.3,64.8,43.7,51.3,15  1/2 ,3  1/2 
W18X50,50.0,14.7,18.0,18      ,7.50,7  1/2 ,0.355,  3/8 ,  3/16,0.570,  9/16,0.972,1  1/4 , 13/16,6.57,45.2,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,32.7,34.9,17.7,49.9,1.98,17.4,57.1,64.6,43.5,51.0,15  1/2 ,3  1/2 
W18X46,46.0,13.5,18.1,18      ,6.06,6      ,0.360,  3/8 ,  3/16,0.605,  5/8 ,1.01,1  1/4 , 13/16,5.01,44.6,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,26.5,24.3,15.1,44.9,1.58,17.5,52.9,59.0,42.3,48.3,15  1/2 ,3  1/2 
W18X40,40.0,11.8,17.9,17  7/8 ,6.02,6      ,0.315,  5/16,  3/16,0.525,  1/2 ,0.927,1  3/16, 13/16,5.73,50.9,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.810,1440,26.1,20.7,13.0,38.6,1.56,17.4,52.6,58.6,41.8,47.8,15  1/2 ,3  1/2 
W18X35,35.0,10.3,17.7,17  3/4 ,6.00,6      ,0.300,  5/16,  3/16,0.425,  7/16,0.827,1  1/8 ,  3/4 ,7.06,53.5,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,25.9,16.5,10.5,32.7,1.51,17.3,52.1,58.1,41.4,47.4,15  1/2 ,3  1/2 
W16X100,100,29.4,17.0,17      ,10.4,10  3/8 ,0.585,  9/16,  5/16,0.985,1      ,1.39,1  7/8 ,1  1/8 ,5.29,24.3,1490,198,175,7.10,186,54.9,35.7,2.51,7.73,11900,41.6,107,38.7,98.5,2.92,16.0,63.3,73.7,44.4,54.8,13  1/4 ,5  1/2 
W16X89,89.0,26.2,16.8,16  3/4 ,10.4,10  3/8 ,0.525,  1/2 ,  1/4 ,0.875,  7/8 ,1.28,1  3/4 ,1  1/16,5.92,27.0,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,41.4,94.2,34.4,87.3,2.88,15.9,63.1,73.5,44.0,54.4,13  1/4 ,5  1/2 
W16X77,77.0,22.6,16.5,16  1/2 ,10.3,10  1/4 ,0.455,  7/16,  1/4 ,0.760,  3/4 ,1.16,1  5/8 ,1  1/16,6.77,31.2,1110,150,134,7.00,138,41.1,26.9,2.47,3.57,8590,40.5,79.3,29.4,74.4,2.85,15.7,62.3,72.6,43.3,53.6,13  1/4 ,5  1/2 
W16X67,67.0,19.6,16.3,16  3/8 ,10.2,10  1/4 ,0.395,  3/8 ,  3/16,0.665, 11/16,1.07,1  9/16,1      ,7.70,35.9,954,130,117,6.96,119,35.5,23.2,2.46,2.39,7300,39.9,67.6,25.5,64.1,2.82,15.6,61.7,71.9,42.8,53.0,13  1/4 ,5  1/2 
W16X57,57.0,16.8,16.4,16  3/8 ,7.12,7  1/8 ,0.430,  7/16,  1/4 ,0.715, 11/16,1.12,1  3/8 ,  7/8 ,4.98,33.0,758,105,92.2,6.72,43.1,18.9,12.1,1.60,2.22,2660,27.9,35.5,18.8,52.0,1.92,15.7,52.6,59.7,39.9,47.0,13  5/8 ,3  1/2 
W16X50,50.0,14.7,16.3,16  1/4 ,7.07,7  1/8 ,0.380,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16, 13/16,5.61,37.4,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270,27.7,30.8,16.5,45.6,1.89,15.7,52.3,59.4,39.7,46.7,13  5/8 ,3  1/2 
W16X45,45.0,13.3,16.1,16  1/8 ,7.04,7      ,0.345,  3/8 ,  3/16,0.565,  9/16,0.967,1  1/4 , 13/16,6.23,41.1,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,27.3,27.2,14.7,40.6,1.87,15.5,52.0,59.0,39.2,46.3,13  5/8 ,3  1/2 
W16X40,40.0,11.8,16.0,16      ,7.00,7      ,0.305,  5/16,  3/16,0.505,  1/2 ,0.907,1  3/16, 13/16,6.93,46.5,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,27.1,24.0,13.1,36.0,1.86,15.5,51.7,58.7,39.0,46.0,13  5/8 ,3  1/2 
W16X36,36.0,10.6,15.9,15  7/8 ,6.99,7      ,0.295,  5/16,  3/16,0.430,  7/16,0.832,1  1/8 ,  3/4 ,8.12,48.1,448,64.0,56.5,6.51,24.5,10.8,7.00,1.52,0.545,1460,27.0,20.3,11.1,31.6,1.83,15.5,51.5,58.5,38.8,45.8,13  5/8 ,3  1/2 
W16X31,31.0,9.13,15.9,15  7/8 ,5.53,5  1/2 ,0.275,  1/4 ,  1/8 ,0.440,  7/16,0.842,1  1/8 ,  3/4 ,6.28,51.6,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,21.4,13.0,8.94,26.6,1.42,15.5,47.2,52.7,37.3,42.9,13  5/8 ,3  1/2 
W16X26,26.0,7.68,15.7,15  3/4 ,5.50,5  1/2 ,0.250,  1/4 ,  1/8 ,0.345,  3/8 ,0.747,1  1/16,  3/4 ,7.97,56.8,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,565,21.1,10.0,6.95,21.6,1.38,15.4,46.7,52.2,36.9,42.4,13  5/8 ,3  1/2 
W14X873,873,257,23.6,23  5/8 ,18.8,18  3/4 ,3.94,3 15/16,2      ,5.51,5  1/2 ,6.10,6  3/16,2  9/16,1.71,2.89,18100,2030,1530,8.39,6170,1020,656,4.90,2270,505000,85.0,2200,370,1010,6.04,18.1,95.2,114,66.0,84.8,11  1/4 ,8  1/2 
W14X808,808,238,22.8,22  3/4 ,18.6,18  5/8 ,3.74,3  3/4 ,1  7/8 ,5.12,5  1/8 ,5.71,5  3/4 ,2  1/2 ,1.82,3.04,15900,1830,1390,8.17,5550,930,597,4.83,1840,434000,82.2,1960,336,916,5.94,17.7,93.4,112,64.2,82.8,11  1/4 ,8  1/2 
W14X730,730,215,22.4,22  3/8 ,17.9,17  7/8 ,3.07,3  1/16,1  9/16,4.91,4 15/16,5.51,6  3/16,2  3/4 ,1.82,3.71,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,78.3,1720,318,829,5.68,17.5,91.1,109,62.7,80.6,10      ,7  1/2 
W14X665,665,196,21.6,21  5/8 ,17.7,17  5/8 ,2.83,2 13/16,1  7/16,4.52,4  1/2 ,5.12,5 13/16,2  5/8 ,1.95,4.03,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,75.6,1510,287,739,5.57,17.1,89.3,107,60.9,78.6,10      ,7  1/2 
W14X605,605,178,20.9,20  7/8 ,17.4,17  3/8 ,2.60,2  5/8 ,1  5/16,4.16,4  3/16,4.76,5  7/16,2  1/2 ,2.09,4.39,10800,1320,1040,7.80,3680,652,423,4.55,869,258000,72.8,1320,258,657,5.44,16.7,87.6,105,59.2,76.6,10      ,7  1/2 
W14X550,550,162,20.2,20  1/4 ,17.2,17  1/4 ,2.38,2  3/8 ,1  3/16,3.82,3 13/16,4.42,5  1/8 ,2  3/8 ,2.25,4.79,9430,1180,931,7.63,3250,583,378,4.49,669,219000,70.4,1160,232,585,5.35,16.4,85.8,103,57.6,74.8,10      ,7  1/2 
W14X500,500,147,19.6,19  5/8 ,17.0,17      ,2.19,2  3/16,1  1/8 ,3.50,3  1/2 ,4.10,4 13/16,2  5/16,2.43,5.21,8210,1050,838,7.48,2880,522,339,4.43,514,187000,68.4,1020,209,522,5.26,16.1,85.0,102,56.2,73.2,10      ,7  1/2 
W14X455,455,134,19.0,19      ,16.8,16  7/8 ,2.02,2      ,1      ,3.21,3  3/16,3.81,4  1/2 ,2  1/4 ,2.62,5.66,7190,936,756,7.33,2560,468,304,4.38,395,160000,66.3,894,187,466,5.17,15.8,83.2,100,54.8,71.6,10      ,7  1/2 
W14X426,426,125,18.7,18  5/8 ,16.7,16  3/4 ,1.88,1  7/8 , 15/16,3.04,3  1/16,3.63,4  5/16,2  1/8 ,2.75,6.08,6600,869,706,7.26,2360,434,283,4.34,331,144000,65.4,830,176,435,5.11,15.7,82.7,99.4,54.1,70.8,10      ,7  1/2 
W14X398,398,117,18.3,18  1/4 ,16.6,16  5/8 ,1.77,1  3/4 ,  7/8 ,2.85,2  7/8 ,3.44,4  1/8 ,2  1/8 ,2.92,6.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,64.1,758,163,401,5.05,15.5,81.8,98.4,53.2,69.8,10      ,7  1/2 
W14X370,370,109,17.9,17  7/8 ,16.5,16  1/2 ,1.66,1 11/16, 13/16,2.66,2 11/16,3.26,3 15/16,2  1/16,3.10,6.89,5440,736,607,7.07,1990,370,241,4.27,222,116000,62.9,690,150,367,5.00,15.2,81.0,97.5,52.3,68.8,10      ,7  1/2 
W14X342,342,101,17.5,17  1/2 ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.47,2  1/2 ,3.07,3  3/4 ,2      ,3.31,7.41,4900,672,558,6.98,1810,338,221,4.24,178,103000,61.6,624,138,335,4.95,15.0,80.1,96.5,51.4,67.8,10      ,7  1/2 
W14X311,311,91.4,17.1,17  1/8 ,16.2,16  1/4 ,1.41,1  7/16,  3/4 ,2.26,2  1/4 ,2.86,3  9/16,1 15/16,3.59,8.09,4330,603,506,6.88,1610,304,199,4.20,136,89100,60.1,550,124,300,4.87,14.8,79.0,95.2,50.4,66.6,10      ,7  1/2 
W14X283,283,83.3,16.7,16  3/4 ,16.1,16  1/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,3  3/8 ,1  7/8 ,3.89,8.84,3840,542,459,6.79,1440,274,179,4.17,104,77700,58.9,491,112,269,4.80,14.6,78.1,94.2,49.5,65.6,10      ,7  1/2 
W14X257,257,75.6,16.4,16  3/8 ,16.0,16      ,1.18,1  3/16,  5/8 ,1.89,1  7/8 ,2.49,3  3/16,1 13/16,4.23,9.71,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,58.0,439,102,243,4.75,14.5,77.4,93.4,48.8,64.8,10      ,7  1/2 
W14X233,233,68.5,16.0,16      ,15.9,15  7/8 ,1.07,1  1/16,  9/16,1.72,1  3/4 ,2.32,3      ,1  3/4 ,4.62,10.7,3010,436,375,6.63,1150,221,145,4.10,59.5,59000,56.8,388,91.1,216,4.69,14.3,76.5,92.4,47.9,63.8,10      ,7  1/2 
W14X211,211,62.0,15.7,15  3/4 ,15.8,15  3/4 ,0.980,1      ,  1/2 ,1.56,1  9/16,2.16,2  7/8 ,1 11/16,5.06,11.6,2660,390,338,6.55,1030,198,130,4.07,44.6,51500,55.9,344,81.7,194,4.64,14.1,75.8,91.6,47.2,63.0,10      ,7  1/2 
W14X193,193,56.8,15.5,15  1/2 ,15.7,15  3/4 ,0.890,  7/8 ,  7/16,1.44,1  7/16,2.04,2  3/4 ,1 11/16,5.45,12.8,2400,355,310,6.50,931,180,119,4.05,34.8,45900,55.2,312,75.0,177,4.59,14.1,75.3,91.0,46.7,62.4,10      ,7  1/2 
W14X176,176,51.8,15.2,15  1/4 ,15.7,15  5/8 ,0.830, 13/16,  7/16,1.31,1  5/16,1.91,2  5/8 ,1  5/8 ,5.97,13.7,2140,320,281,6.43,838,163,107,4.02,26.5,40500,54.5,280,67.6,159,4.55,13.9,74.8,90.5,46.1,61.8,10      ,7  1/2 
W14X159,159,46.7,15.0,15      ,15.6,15  5/8 ,0.745,  3/4 ,  3/8 ,1.19,1  3/16,1.79,2  1/2 ,1  9/16,6.54,15.3,1900,287,254,6.38,748,146,96.2,4.00,19.7,35600,53.9,250,61.0,143,4.51,13.8,74.3,89.9,45.6,61.2,10      ,7  1/2 
